f-lig-chi-0,f-lig-chi-1,f-lig-chi-2,f-lig-chi-3,f-lig-Z-0,f-lig-Z-1,f-lig-Z-2,f-lig-Z-3,f-lig-I-0,f-lig-I-1,f-lig-I-2,f-lig-I-3,f-lig-T-0,f-lig-T-1,f-lig-T-2,f-lig-T-3,f-lig-S-0,f-lig-S-1,f-lig-S-2,f-lig-S-3,name
385.3306999999999,777.3380000000004,1191.0636000000002,1612.1460000000009,1754.0,3500.0,5412.0,6480.0,53.0,112.0,172.0,236.0,284.0,716.0,1068.0,1288.0,24.319700000000015,56.89360000000002,86.34200000000003,109.56280000000005,GUVBOQ_clean_primitive
385.3306999999996,777.3380000000003,1191.0635999999997,1612.1459999999995,1754.0,3500.0,5412.0,6480.0,53.0,112.0,172.0,236.0,284.0,716.0,1068.0,1288.0,24.31970000000002,56.89360000000002,86.342,109.56280000000001,GUVBOQ_clean_primitive
385.3306999999996,777.3380000000003,1191.0635999999995,1612.1459999999995,1754.0,3500.0,5412.0,6480.0,53.0,112.0,172.0,236.0,284.0,716.0,1068.0,1288.0,24.31970000000001,56.89360000000002,86.342,109.5628,GUVBOQ_clean_primitive
385.33069999999975,777.3380000000003,1191.0636000000002,1612.1459999999995,1754.0,3500.0,5412.0,6480.0,53.0,112.0,172.0,236.0,284.0,716.0,1068.0,1288.0,24.31970000000001,56.89360000000002,86.34200000000001,109.56280000000001,GUVBOQ_clean_primitive
385.33069999999987,777.3380000000004,1191.0636000000002,1612.146,1754.0,3500.0,5412.0,6480.0,53.0,112.0,172.0,236.0,284.0,716.0,1068.0,1288.0,24.31970000000001,56.89360000000002,86.34200000000004,109.56280000000002,GUVBOQ_clean_primitive
385.3306999999995,777.3380000000002,1191.0636,1612.1459999999997,1754.0,3500.0,5412.0,6480.0,53.0,112.0,172.0,236.0,284.0,716.0,1068.0,1288.0,24.319700000000022,56.89360000000003,86.34199999999998,109.56280000000002,GUVBOQ_clean_primitive
385.33069999999964,777.3380000000006,1191.0636000000002,1612.1460000000002,1754.0,3500.0,5412.0,6480.0,53.0,112.0,172.0,236.0,284.0,716.0,1068.0,1288.0,24.319700000000026,56.89360000000003,86.34200000000003,109.56280000000004,GUVBOQ_clean_primitive
385.33069999999987,777.3380000000005,1191.0636000000006,1612.1460000000004,1754.0,3500.0,5412.0,6480.0,53.0,112.0,172.0,236.0,284.0,716.0,1068.0,1288.0,24.319700000000022,56.89360000000003,86.34200000000003,109.56280000000005,GUVBOQ_clean_primitive
385.33069999999987,777.3380000000004,1191.0636000000002,1612.1460000000002,1754.0,3500.0,5412.0,6480.0,53.0,112.0,172.0,236.0,284.0,716.0,1068.0,1288.0,24.319700000000015,56.89360000000003,86.34200000000004,109.56280000000005,GUVBOQ_clean_primitive
385.33069999999987,777.3380000000003,1191.0636000000002,1612.1460000000002,1754.0,3500.0,5412.0,6480.0,53.0,112.0,172.0,236.0,284.0,716.0,1068.0,1288.0,24.319700000000005,56.89360000000002,86.34200000000003,109.56280000000007,GUVBOQ_clean_primitive
385.3306999999999,777.3380000000004,1191.0636000000009,1612.1460000000006,1754.0,3500.0,5412.0,6480.0,53.0,112.0,172.0,236.0,284.0,716.0,1068.0,1288.0,24.31970000000003,56.89360000000002,86.342,109.56280000000002,GUVBOQ_clean_primitive
385.3306999999996,777.3380000000003,1191.0635999999995,1612.1459999999995,1754.0,3500.0,5412.0,6480.0,53.0,112.0,172.0,236.0,284.0,716.0,1068.0,1288.0,24.31970000000001,56.89360000000002,86.342,109.5628,GUVBOQ_clean_primitive
385.3306999999996,777.3380000000003,1191.0635999999995,1612.1459999999995,1754.0,3500.0,5412.0,6480.0,53.0,112.0,172.0,236.0,284.0,716.0,1068.0,1288.0,24.31970000000001,56.89360000000002,86.342,109.5628,GUVBOQ_clean_primitive
385.3306999999998,777.3380000000003,1191.0636,1612.146,1754.0,3500.0,5412.0,6480.0,53.0,112.0,172.0,236.0,284.0,716.0,1068.0,1288.0,24.31970000000001,56.89360000000002,86.34200000000004,109.56280000000002,GUVBOQ_clean_primitive
385.33069999999964,777.3380000000002,1191.0636,1612.1460000000004,1754.0,3500.0,5412.0,6480.0,53.0,112.0,172.0,236.0,284.0,716.0,1068.0,1288.0,24.31970000000001,56.89360000000002,86.34200000000003,109.56280000000004,GUVBOQ_clean_primitive
385.3306999999996,777.3380000000006,1191.0636,1612.1460000000002,1754.0,3500.0,5412.0,6480.0,53.0,112.0,172.0,236.0,284.0,716.0,1068.0,1288.0,24.31970000000003,56.89360000000003,86.34200000000003,109.56280000000002,GUVBOQ_clean_primitive
385.3306999999999,777.3380000000004,1191.0636000000009,1612.1460000000006,1754.0,3500.0,5412.0,6480.0,53.0,112.0,172.0,236.0,284.0,716.0,1068.0,1288.0,24.31970000000003,56.89360000000002,86.342,109.56280000000002,GUVBOQ_clean_primitive
385.33069999999987,777.3380000000005,1191.0636000000006,1612.1460000000004,1754.0,3500.0,5412.0,6480.0,53.0,112.0,172.0,236.0,284.0,716.0,1068.0,1288.0,24.319700000000022,56.89360000000003,86.34200000000003,109.56280000000005,GUVBOQ_clean_primitive
